Day	Topic	The Quirky One-Liner
Day 1	Python Basics: Indexing, Slicing & Dicing: Becoming a brain-data ninja.
Day 2	Python Basics: Plotting for Insights: Turning arrays of raw numbers into a visual story, because your eyes are better at spotting patterns (mistakes).
Day 3	Python Basics: Dataframes to arrays: Flattening the curve of your dimension confusion.
Day 4	Data Cleaning: Downsampling, Bad Channels and Bad Segments: Throwing out the bad apples before making neural cider.
Day 5	Data Cleaning: ASR (Artifact Subspace Reconstruction): Politely asking the noise to leave the room.
Day 6	Data Cleaning: ICA (Independent Component Analysis): Separating your actual brainwaves from your excessive blinking and heart beats and muscle smirks.
Day 7	Data Cleaning: ICLabel: Letting an algorithm judge your brain's noisy habits.

Special Day: Tour of CCS Pipeline for data cleaning

Day 8	Dimensionality Reduction: PCA: Stripping away the drama to find the main characters of your data.
Day 9	Features: Power Spectral Density (PSD): Figuring out exactly where your brain's energy bill is going.
Day 10	Features: Frequency Sliding: Catching those brain waves while they're on the move.
Day 11	Features: FOOOF (Fitting Oscillations & One Over F): Because sometimes the "background noise" is the real story.
Day 12	Features: IRASA: Un-fractaling your thoughts to see what's actually oscillating.
Day 13	Features: Autocorrelation Window (ACW): Measuring exactly how long your brain holds onto a grudge... or a signal.
Day 14	Time-Frequency Decompositions: Wavelets: For when you absolutely need to know exactly when and what happened.

Special Day: Clean and get all features from a small dataset

Day 15	Time-Frequency Decompositions: Multitaper: Smoothing things over when your spectrum is looking a little too jagged.
Day 16	Holy Trinity of a Signal: The Hilbert Transform (Analytic Signal): Adding an imaginary friend to your very real data.
Day 17	Connectivity: Coherence, PLI & PLV: Finding out if brain regions are actually talking, or just gossiping.


Day 18	Stats: Permutation-Based Testing: Shuffling the deck until your p-value finally cries uncle.
Day 19	Stats: Cluster Statistics: Because one significant pixel is a fluke, but a blob is a discovery.
Day 20	Stats: TFCE (Threshold-Free Cluster Enhancement): Because setting arbitrary cutoffs is so last century.
